image_source,image_label,cluster,pc1,pc2,pc3,combined_vector
00578.15.vsi - 20x_001,Lymphocytes,1,-3.504029287045349,-1.0853782474368991,-3.504029287045349,"[-1.52841088 -1.10895881 -1.40079633 -0.35958523 -1.18798479 -1.48811241
 -1.00743909  0.73538818 -0.76914645 -0.20710967  0.08233593 -0.53644425
 -0.69446676 -0.5621479  -0.60612688  1.05251281  0.99509775  0.14859145
 -0.49078975 -0.78406293 -1.14311964 -1.0380551  -0.90587223 -0.15710375
  0.55898033  0.15483417  1.15214152  0.25970212 -1.20825983  0.85487364
 -0.14852081 -0.85294662  0.07569355  0.31355783]"
00578.15.vsi - 20x_002,Lymphocytes,1,-4.470993488144613,-0.35702190182419896,-4.470993488144613,"[-1.19528341 -1.03344878 -0.71860663  0.2442623  -0.82801624 -1.44963265
 -0.94326606  1.38720709 -0.24124187 -1.36555882  1.54639649 -0.0783822
  0.03171945 -0.17178755  0.11298153  0.69261049  1.36851653  4.00947427
 -0.53215545 -0.18884138 -1.15737438 -0.95943056  0.0220708  -0.19447535
  2.11263136 -1.51959803 -0.5230111   1.28688052 -1.12954252 -0.04326681
  0.18737953 -0.70203079  2.31589807 -0.25505408]"
00592.17 A51.vsi - 20x_001,Lymphocytes,1,-1.67419797245812,-1.0076824278264545,-1.67419797245812,"[ 0.27826652 -0.47489142  1.26594521  0.2442623  -0.24111101 -0.16158761
 -0.79860853  0.72891075 -0.79534218 -0.8630248   0.42812969 -0.21411093
 -0.40495774  0.04730493 -0.37054647  0.4705431   0.38996399 -0.31882621
 -0.28398481 -0.65530316 -0.36565029 -0.66852026 -0.84668954  0.43375835
 -0.77929646  1.19111417 -0.0032555  -0.54517991 -0.15698276 -0.67772525
  0.15342039  0.7806005  -0.62126999  0.22599888]"
00592.17 A51.vsi - 20x_001 (2),Lymphocytes,1,0.16161416279852767,-1.1474099654039438,0.16161416279852767,"[ 0.78662434 -0.05597995  1.63804868 -0.35958523  0.14233375  0.58365141
 -0.04966146  0.08546669  0.16056304 -0.33526813 -0.06758191 -0.49041178
 -0.67971607 -0.72042106 -0.92187949  0.35568066  0.11436454 -0.65117648
 -0.16388361 -0.6633071   0.06247036 -0.31277337 -0.65453488 -0.55495253
 -0.58680919  0.94563616 -0.56148339  0.22051614 -1.42678706 -0.76090709
 -1.30790054 -0.22632831 -0.77237032 -0.6526435 ]"
00592.17 A51.vsi - 20x_002,Lymphocytes,1,-1.487104200800857,-0.7618189324652239,-1.487104200800857,"[ 0.22974389 -0.44855577  1.07989348 -0.35958523 -1.10973075  0.01448089
 -0.36747876  0.41046838 -0.19820025 -0.40748084  0.10031801 -0.13993232
 -0.49640222 -0.27282404 -0.7686698   0.62369302  0.46134382  0.4683204
 -0.27506419 -0.59980107 -0.24167564 -0.7822073  -0.75261679 -0.53229173
 -0.34130235 -0.19143358 -0.51809348 -0.97375515  0.27251547 -0.26409204
 -0.58246336 -0.50050402 -1.14048992 -1.55386986]"
00592.17 A51.vsi - 20x_003,Lymphocytes,1,-2.1528604737464527,0.637636948296108,-2.1528604737464527,"[ 0.01943153 -0.59915547  0.73879863 -0.96343275 -1.37579446 -0.34624275
 -0.64941983  0.8624976   0.41054954 -1.05443949  0.91993272  0.17163008
  0.26816329  0.76761153  0.77842719 -0.01187916  0.17477341  0.70261574
 -0.17033882 -0.0474176  -0.48522621 -0.92378188 -0.75370158  0.44119461
 -0.23608173  1.73903894 -0.15980924  0.43023222  1.28421062 -1.96912693
 -0.90490897 -0.18518123  0.4868182  -0.33313698]"
00592.17 A51.vsi - 20x_004,Lymphocytes,1,-1.246605938686278,0.691665605689721,-1.246605938686278,"[-0.3237984  -0.4550047   0.02560031 -0.96343275 -0.44457149 -0.30382239
 -0.23773018  0.22501891  0.27518549 -0.13693475 -0.44510085 -0.02729068
  0.11350703  0.56713307  0.39953345  0.56243305  0.3209325  -0.82728668
 -0.28327291 -0.7079479  -0.4269932  -0.55007674 -1.01458112  0.32851559
  0.16146931  0.66892884 -0.16658237  0.09881554 -0.60517585 -0.56263857
 -0.47700799  0.26045395 -0.39598698 -0.04590403]"
00669.18 a301.vsi - 20x_001,Lymphocytes,1,-2.4742222291183396,-3.508610930314331,-2.4742222291183396,"[-0.06748637 -0.90914505  0.89384174  0.2442623  -1.18798479 -0.65434923
 -1.09225568  1.44700219 -2.29629317 -1.1709689   0.44701859 -0.94183363
 -0.98884912 -1.12169085 -1.3657672  -0.19565907 -0.17080168  0.60637928
 -0.06894542 -0.14156484 -0.80453449 -0.92615131 -0.14102915 -2.01846831
  0.04553672  0.01658578 -0.09078082  0.18938189 -0.54747971  1.34460622
 -0.88417277  0.04525383 -1.61661794  0.34303332]"
00669.18 a301.vsi - 20x_002,Lymphocytes,1,-1.8716936070507688,-3.2299433768040133,-1.8716936070507688,"[-0.08317007 -0.84788621  0.8318245   0.84810982 -0.06895214 -0.60270648
 -0.94249921  1.31049805 -1.33158762 -1.25151461  0.57433261 -0.90597292
 -0.90298853 -0.93367199 -1.1973955  -0.18800158 -0.23458836  0.23392441
  0.00988751  0.11256972 -0.80290551 -0.8960856  -0.31271042 -1.24423111
 -0.25472292  0.12381325  0.86807183  0.59614342 -1.0789512   0.58262865
  0.13262424  0.27898661 -1.17113913 -0.12865106]"
00669.18 a301.vsi - 20x_003,Lymphocytes,1,-2.461845107500276,-0.13293733104755417,-2.461845107500276,"[ 0.3600532  -0.64865072  1.3899797  -0.35958523 -1.43057228 -0.05786124
 -0.63920212  0.82657792  0.23460491 -0.78281852  0.87925151  0.35671335
  0.05708367  0.31467642  0.15509761  0.86107541  0.82239073  0.42254244
 -0.40846409 -0.57776231 -0.44031277 -0.98238835 -1.49237538  0.63884429
 -0.06911339 -0.51485069 -0.46575018  0.38971865 -0.28149019  1.32864698
 -0.18324301 -0.31127454  0.18534545 -0.28275382]"
00669.18 a301.vsi - 20x_004,Lymphocytes,1,-3.0098817754929934,0.42498362525569533,-3.0098817754929934,"[-0.46236925 -0.80082129  0.27366929  0.84810982 -0.2332856  -0.70270725
 -0.90151215  0.88510867  0.1765236  -0.45528794  0.47604705  0.4225392
  0.01616475  0.61261586  0.49005098  1.32052518  1.32486252  0.57760423
 -0.60073346 -0.80609874 -0.77442498 -0.7424756  -0.82196341 -0.90707709
 -0.61379531 -1.11447314  0.72517083 -0.14760266 -1.69725412  0.23298061
 -0.71008925 -1.09022774 -0.78724361 -1.3039755 ]"
00670.18 a201.vsi - 20x_001,Lymphocytes,1,-2.595818262255335,-3.8562350031883748,-2.595818262255335,"[ 0.11765247 -0.93147959  1.14191072  0.2442623  -0.87496866 -0.4653272
 -1.26602316  1.29861544 -1.88277    -1.06274285  1.10995256 -1.32114021
 -1.40198295 -1.41211762 -1.56984909  0.41694063  0.37279373  0.20167842
 -0.267054   -0.48520356 -0.86218057 -0.94479039 -0.68330956 -0.85521849
  0.20678552 -0.34439596  0.7284798  -0.10311738 -0.63997888  1.12194519
  0.56811669 -0.33546301 -1.53411193  0.55784141]"
00835.18 A2.vsi - 20x_001,Lymphocytes,1,-3.8547843829233357,4.548778167561282,-3.8547843829233357,"[-0.20243954 -0.83296791  1.07989348  0.2442623  -0.78106382 -0.48518245
 -1.01654772  0.79616658  0.71269048 -1.09237322  0.35922064  2.62097017
  1.38796593  4.7169133   2.86835805  1.35881266  1.31857732  0.01393124
 -0.55716658 -0.94132303 -0.72924374 -0.94122404 -1.69851967  2.83895217
  0.39855278  1.3120807  -1.65064867  0.66511616  0.71931994  1.6296512
  0.86515086  0.80117073  1.32951445  0.23116235]"
