filename,vector
00578.15.vsi - 20x_001.pt,[-7.565e-03  1.938e-02  7.053e-03 ...  2.699e-03  7.653e-05 -5.302e-03]
00578.15.vsi - 20x_002.pt,[-0.00784    0.01897    0.00894   ...  0.00351   -0.0007896 -0.004524 ]
00592.17 A51.vsi - 20x_001 (2).pt,[-0.006767   0.01723    0.007236  ...  0.003326   0.0001864 -0.006653 ]
00592.17 A51.vsi - 20x_001.pt,[-0.00607    0.01692    0.00839   ...  0.002483  -0.0001482 -0.0059   ]
00592.17 A51.vsi - 20x_002.pt,[-0.00808    0.01782    0.007557  ...  0.003338  -0.0003824 -0.00532  ]
00592.17 A51.vsi - 20x_003.pt,[-0.00597    0.01772    0.00882   ...  0.00341    0.0003262 -0.00717  ]
00592.17 A51.vsi - 20x_004.pt,[-0.006706   0.01758    0.006176  ...  0.0025     0.0004609 -0.006474 ]
00669.18 a301.vsi - 20x_001.pt,[-0.0079     0.01704    0.01004   ...  0.003605  -0.0005636 -0.003117 ]
00669.18 a301.vsi - 20x_002.pt,[-0.007084  0.0171    0.008385 ...  0.003485 -0.000995 -0.004536]
00669.18 a301.vsi - 20x_003.pt,[-0.00783   0.01836   0.00551  ...  0.001433 -0.000229 -0.0073  ]
00669.18 a301.vsi - 20x_004.pt,[-0.008194   0.01898    0.007515  ...  0.001901   0.0003822 -0.00607  ]
00670.18 a201.vsi - 20x_001.pt,[-8.209e-03  1.810e-02  8.057e-03 ...  2.771e-03 -5.805e-05 -4.906e-03]
00835.18 A2.vsi - 20x_001.pt,[-0.005417  0.01776   0.00514  ...  0.002977  0.001993 -0.008446]
00835.18 A2.vsi - 20x_002.pt,[-0.00672    0.0176     0.005665  ...  0.000895   0.0003858 -0.007492 ]
00835.18 A2.vsi - 20x_003.pt,[-0.006752  0.01747   0.0136   ...  0.006447 -0.001649 -0.004242]
00922.18.vsi - 20x_001 (2).pt,[-0.006546  0.01643   0.00995  ...  0.002298 -0.001108 -0.003141]
00922.18.vsi - 20x_001 (3).pt,[-0.006702   0.01642    0.006653  ...  0.000727   0.0002544 -0.006348 ]
00922.18.vsi - 20x_001.pt,[-0.006176   0.01595    0.009674  ...  0.002886  -0.0006256 -0.00453  ]
00922.18.vsi - 20x_002 (2).pt,[-0.00696   0.01637   0.00825  ...  0.00265  -0.000256 -0.005558]
00922.18.vsi - 20x_002.pt,[-0.00731   0.01575   0.00983  ...  0.003674 -0.00028  -0.00444 ]
00922.18.vsi - 20x_003 (2).pt,[-0.00533    0.01617    0.007713  ...  0.002287  -0.0001584 -0.006893 ]
00922.18.vsi - 20x_003.pt,[-0.006508   0.01671    0.009254  ...  0.003557  -0.0003345 -0.005657 ]
00981.15.vsi - 20x_001 (2).pt,[-0.0082     0.01913    0.0087    ...  0.004684   0.0001372 -0.004818 ]
00981.15.vsi - 20x_001.pt,[-0.00834    0.01875    0.008286  ...  0.005047  -0.0006127 -0.006126 ]
00981.15.vsi - 20x_002.pt,[-0.007084  0.0182    0.006035 ...  0.002073  0.000919 -0.006836]
00981.15.vsi - 20x_003.pt,[-0.007393   0.01775    0.007572  ...  0.003777   0.0005207 -0.005196 ]
00981.15.vsi - 20x_004.pt,[-0.00909   0.01974   0.00851  ...  0.005455 -0.00066  -0.00614 ]
01_201940304.vsi - 20x_001.pt,[-0.006046  0.01717   0.00798  ...  0.003357 -0.000534 -0.0077  ]
01_201940304.vsi - 20x_002.pt,[-0.007027  0.0181    0.008156 ...  0.00504  -0.001117 -0.00748 ]
01_201941540.vsi - 20x_001.pt,[-0.00915   0.01866   0.00983  ...  0.004307 -0.001079 -0.005356]
